"","species","island","bill_length_mm","bill_depth_mm","flipper_length_mm","body_mass_g","sex","year"
"21","Adelie","Biscoe",37.8,18.3,174,3400,"female",2007
"259","Gentoo","Biscoe",41.7,14.7,210,4700,"female",2009
"329","Chinstrap","Dream",45.7,17.3,193,3600,"female",2009
"232","Gentoo","Biscoe",45.2,16.4,223,5950,"male",2008
"172","Gentoo","Biscoe",48.7,15.1,222,5350,"male",2007
"109","Adelie","Biscoe",38.1,17,181,3175,"female",2009
"326","Chinstrap","Dream",49.8,17.3,198,3675,"female",2009
"137","Adelie","Dream",35.6,17.5,191,3175,"female",2009
"54","Adelie","Biscoe",42,19.5,200,4050,"male",2008
"335","Chinstrap","Dream",50.2,18.8,202,3800,"male",2009
"276","Gentoo","Biscoe",49.9,16.1,213,5400,"male",2009
"332","Chinstrap","Dream",52.2,18.8,197,3450,"male",2009
"28","Adelie","Biscoe",40.5,17.9,187,3200,"female",2007
"152","Adelie","Dream",41.5,18.5,201,4000,"male",2009
"17","Adelie","Torgersen",38.7,19,195,3450,"female",2007
"312","Chinstrap","Dream",47.5,16.8,199,3900,"female",2008
"142","Adelie","Dream",40.6,17.2,187,3475,"male",2009
"227","Gentoo","Biscoe",46.4,15,216,4700,"female",2008
"220","Gentoo","Biscoe",49.5,16.2,229,5800,"male",2008
"308","Chinstrap","Dream",54.2,20.8,201,4300,"male",2008
"173","Gentoo","Biscoe",50.2,14.3,218,5700,"male",2007
"151","Adelie","Dream",36,17.1,187,3700,"female",2009
"303","Chinstrap","Dream",50.5,18.4,200,3400,"female",2008
"285","Chinstrap","Dream",46,18.9,195,4150,"female",2007
"292","Chinstrap","Dream",50.5,19.6,201,4050,"male",2007
"338","Chinstrap","Dream",46.8,16.5,189,3650,"female",2009
"140","Adelie","Dream",39.7,17.9,193,4250,"male",2009
"52","Adelie","Biscoe",40.1,18.9,188,4300,"male",2008
"112","Adelie","Biscoe",45.6,20.3,191,4600,"male",2009
"324","Chinstrap","Dream",49,19.6,212,4300,"male",2009
"125","Adelie","Torgersen",35.2,15.9,186,3050,"female",2009
"34","Adelie","Dream",40.9,18.9,184,3900,"male",2007
"106","Adelie","Biscoe",39.7,18.9,184,3550,"male",2009
"150","Adelie","Dream",37.8,18.1,193,3750,"male",2009
"157","Gentoo","Biscoe",47.6,14.5,215,5400,"male",2007
"196","Gentoo","Biscoe",49.6,15,216,4750,"male",2008
"320","Chinstrap","Dream",45.5,17,196,3500,"female",2008
"197","Gentoo","Biscoe",50.5,15.9,222,5550,"male",2008
"210","Gentoo","Biscoe",45.5,15,220,5000,"male",2008
"298","Chinstrap","Dream",48.5,17.5,191,3400,"male",2007
"189","Gentoo","Biscoe",42.6,13.7,213,4950,"female",2008
"102","Adelie","Biscoe",41,20,203,4725,"male",2009
"67","Adelie","Biscoe",35.5,16.2,195,3350,"female",2008
"246","Gentoo","Biscoe",49.5,16.1,224,5650,"male",2009
"273","Gentoo","Biscoe",46.8,14.3,215,4850,"female",2009
"215","Gentoo","Biscoe",45.7,13.9,214,4400,"female",2008
"119","Adelie","Torgersen",35.7,17,189,3350,"female",2009
"222","Gentoo","Biscoe",50.7,15,223,5550,"male",2008
"31","Adelie","Dream",39.5,16.7,178,3250,"female",2007
"203","Gentoo","Biscoe",46.6,14.2,210,4850,"female",2008
"286","Chinstrap","Dream",51.3,19.9,198,3700,"male",2007
"46","Adelie","Dream",39.6,18.8,190,4600,"male",2007
"51","Adelie","Biscoe",39.6,17.7,186,3500,"female",2008
"306","Chinstrap","Dream",52.8,20,205,4550,"male",2008
"250","Gentoo","Biscoe",46.9,14.6,222,4875,"female",2009
"87","Adelie","Dream",36.3,19.5,190,3800,"male",2008
"245","Gentoo","Biscoe",45.5,14.5,212,4750,"female",2009
"230","Gentoo","Biscoe",51.1,16.3,220,6000,"male",2008
"183","Gentoo","Biscoe",47.3,15.3,222,5250,"male",2007
"25","Adelie","Biscoe",38.8,17.2,180,3800,"male",2007
"107","Adelie","Biscoe",38.6,17.2,199,3750,"female",2009
"20","Adelie","Torgersen",46,21.5,194,4200,"male",2007
"181","Gentoo","Biscoe",48.2,14.3,210,4600,"female",2007
"295","Chinstrap","Dream",46.4,18.6,190,3450,"female",2007
"79","Adelie","Torgersen",36.2,16.1,187,3550,"female",2008
"319","Chinstrap","Dream",50.9,19.1,196,3550,"male",2008
"241","Gentoo","Biscoe",47.5,14,212,4875,"female",2009
"278","Chinstrap","Dream",50,19.5,196,3900,"male",2007
"118","Adelie","Torgersen",37.3,20.5,199,3775,"male",2009
"302","Chinstrap","Dream",52,19,197,4150,"male",2007
"229","Gentoo","Biscoe",47.5,14.2,209,4600,"female",2008
"208","Gentoo","Biscoe",45,15.4,220,5050,"male",2008
"94","Adelie","Dream",39.6,18.1,186,4450,"male",2008
"234","Gentoo","Biscoe",52.5,15.6,221,5450,"male",2009
"242","Gentoo","Biscoe",52.1,17,230,5550,"male",2009
"238","Gentoo","Biscoe",50.8,17.3,228,5600,"male",2009
"26","Adelie","Biscoe",35.3,18.9,187,3800,"female",2007
"225","Gentoo","Biscoe",48.2,15.6,221,5100,"male",2008
"40","Adelie","Dream",39.8,19.1,184,4650,"male",2007
"293","Chinstrap","Dream",50.3,20,197,3300,"male",2007
"327","Chinstrap","Dream",48.1,16.4,199,3325,"female",2009
"85","Adelie","Dream",37.3,17.8,191,3350,"female",2008
"60","Adelie","Biscoe",37.6,19.1,194,3750,"male",2008
"202","Gentoo","Biscoe",45.2,15.8,215,5300,"male",2008
"14","Adelie","Torgersen",38.6,21.2,191,3800,"male",2007
"115","Adelie","Biscoe",39.6,20.7,191,3900,"female",2009
"70","Adelie","Torgersen",41.8,19.4,198,4450,"male",2008
"50","Adelie","Dream",42.3,21.2,191,4150,"male",2007
"185","Gentoo","Biscoe",45.1,14.5,207,5050,"female",2007
"130","Adelie","Torgersen",44.1,18,210,4000,"male",2009
"7","Adelie","Torgersen",38.9,17.8,181,3625,"female",2007
"305","Chinstrap","Dream",46.4,17.8,191,3700,"female",2008
"5","Adelie","Torgersen",36.7,19.3,193,3450,"female",2007
"39","Adelie","Dream",37.6,19.3,181,3300,"female",2007
"129","Adelie","Torgersen",39,17.1,191,3050,"female",2009
"281","Chinstrap","Dream",52.7,19.8,197,3725,"male",2007
"126","Adelie","Torgersen",40.6,19,199,4000,"male",2009
"44","Adelie","Dream",44.1,19.7,196,4400,"male",2007
"256","Gentoo","Biscoe",49.1,15,228,5500,"male",2009
"206","Gentoo","Biscoe",50.1,15,225,5000,"male",2008
